position,person,personID,start,end
Member of the Dewan Rakyat,Mohd Hatta Ramli,Q6893939,2018-05-10,
Member of the Dewan Rakyat,Mohd Nizar Zakaria,Q6894002,2018-05-10,
Member of the Dewan Rakyat,Mujahid Yusof Rawa,Q6933305,2018-05-10,
Member of the Dewan Rakyat,Mukhriz Mahathir,Q6933490,2018-05-10,
Member of the Dewan Rakyat,Nancy Shukri,Q6962983,2018-05-10,
Member of the Dewan Rakyat,Nga Kor Ming,Q7021810,2018-05-10,
Member of the Dewan Rakyat,Ngeh Koo Ham,Q7022259,2018-05-10,
Member of the Dewan Rakyat,Noh Omar,Q7047541,2018-05-10,
Member of the Dewan Rakyat,Noraini Ahmad,Q7050236,2018-05-10,
Member of the Dewan Rakyat,Nurul Izzah Anwar,Q7070314,2018-05-10,
Member of the Dewan Rakyat,Lim Guan Eng,Q707164,2018-05-10,
Member of the Dewan Rakyat,Ong Kian Ming,Q7093801,2018-05-10,
Member of the Dewan Rakyat,Lim Kit Siang,Q717696,2018-05-10,
Member of the Dewan Rakyat,RSN Rayer,Q7196223,2018-05-10,
Member of the Dewan Rakyat,Shabudin Yahaya,Q7223782,2018-05-10,
Member of the Dewan Rakyat,Nik Nazmi Nik Ahmad,Q73137,2018-05-10,
Member of the Dewan Rakyat,Richard Riot Jaem,Q7328680,2018-05-10,
Member of the Dewan Rakyat,Hasbullah Osman,Q7348238,2018-05-10,2020-11-16
Member of the Dewan Rakyat,Rohani Abdul Karim,Q7359725,2018-05-10,
Member of the Dewan Rakyat,Ronald Kiandee,Q7365021,2018-05-10,
Member of the Dewan Rakyat,Mohamed Azmin Ali,Q73962,2018-05-10,
Member of the Dewan Rakyat,Saifuddin Abdullah,Q7400032,2018-05-10,
Member of the Dewan Rakyat,Saifuddin Nasution Ismail,Q7400038,2018-05-10,
Member of the Dewan Rakyat,Salahuddin Ayub,Q7403483,2018-05-10,
Member of the Dewan Rakyat,Shafie Apdal,Q7461040,2018-05-10,
Member of the Dewan Rakyat,Shahidan Kassim,Q7461744,2018-05-10,
Member of the Dewan Rakyat,Shamsul Anuar Nasarah,Q7487791,2018-05-10,
Member of the Dewan Rakyat,Sim Tze Tzin,Q7517281,2018-05-10,
Member of the Dewan Rakyat,Siti Zailah Mohd Yusoff,Q7531897,2018-05-10,
Member of the Dewan Rakyat,Sivarasa Rasiah,Q7532427,2018-05-10,
Member of the Dewan Rakyat,Steven Sim,Q7615273,2018-05-10,
Member of the Dewan Rakyat,Tajuddin Abdul Rahman,Q7676902,2018-05-10,
Member of the Dewan Rakyat,Tan Kok Wai,Q7682080,2018-05-10,
Member of the Dewan Rakyat,Tengku Adnan Tengku Mansor,Q7699790,2018-05-10,
Member of the Dewan Rakyat,Tengku Razaleigh Hamzah,Q7699810,2018-05-10,
Member of the Dewan Rakyat,Teo Nie Ching,Q7700985,2018-05-10,
Member of the Dewan Rakyat,Teresa Kok Suh Sim,Q7702167,2018-05-10,
Member of the Dewan Rakyat,Tiong King Sing,Q7808735,2018-05-10,
Member of the Dewan Rakyat,Tony Pua,Q7823217,2018-05-10,
Member of the Dewan Rakyat,V. Sivakumar,Q7906250,2018-05-10,
Member of the Dewan Rakyat,Wan Junaidi Tuanku Jaafar,Q7967007,2018-05-10,
Member of the Dewan Rakyat,Wee Ka Siong,Q7979293,2018-05-10,
Member of the Dewan Rakyat,William Leong Jee Keen,Q8014504,2018-05-10,
Member of the Dewan Rakyat,Zuraida Kamarudin,Q8075369,2018-05-10,
Member of the Dewan Rakyat,Abdul Rahman Mohamad,Q97209796,2018-05-10,
Member of the Dewan Rakyat,Muhyiddin Yassin,Q1060949,2018-08-14,
Member of the Dewan Rakyat,Mohamad Alamin,Q96048979,2020-01-18,
Member of the Dewan Rakyat,Muhyiddin Yassin,Q1060949,2020-03-01,
Member of the Dewan Negara,Mohan Thangarasu,Q107740009,2017-11-16,
Member of the Dewan Negara,Paul Igai,Q107740089,2017-12-04,
Member of the Dewan Negara,Teo Eng Tee,Q107710374,2018,
Member of the Dewan Negara,Lim Hui Ying,Q106554732,2018-08-27,2021-08-26
Member of the Dewan Negara,Theodore Douglas Lind,Q107740122,2018-08-27,2021-08-26
Member of the Dewan Negara,Zulkifli Mohamad Al-Bakri,Q20467079,2020-03-10,
Member of the Dewan Negara,Idris Ahmad,Q20451202,2020-06-16,
Member of the Dewan Negara,Rita Sarimah Patrick Insol,Q107739045,2020-06-22,
Member of the Dewan Negara,Susan Chemerai Anding,Q107739159,2020-06-22,
Member of the Dewan Negara,Guan Dee Koh Hoi,Q106512923,2020-12-16,2021-10-26
Member of the Dewan Negara,Wan Martina Wan Yusoff,Q108264884,2021-08-24,
Member of the Dewan Negara,Juhanis Abd Aziz,Q110134769,2021-08-25,
member of the Sabah State Legislative Assembly,Ellron Alfred Angin,Q99767377,2008-03-08,
member of the Sabah State Legislative Assembly,Mohamad Alamin,Q96048979,2013-05-05,2018-05-09
member of the Sabah State Legislative Assembly,Joachim Gunsalam,Q99732625,2020-09-26,
member of the Selangor State Legislative Assembly,Abdul Rani Osman,Q12681926,2008,2018
member of the Selangor State Legislative Assembly,Hasan Mohamed Ali,Q73142,2008,2013
member of the Selangor State Legislative Assembly,Iskandar Abdul Samad,Q73449,2008,2018
member of the Selangor State Legislative Assembly,Abdul Khalid Ibrahim,Q4665485,2008-03-08,2013-05-05
member of the Selangor State Legislative Assembly,Mohd Haslin Hassan,Q25486232,2013,2018
member of the Selangor State Legislative Assembly,Abdul Khalid Ibrahim,Q4665485,2013-05-06,2018-05-09
member of the Sarawak State Legislative Assembly,Stephen Rundi Utom,Q107569877,2001,
member of the Sarawak State Legislative Assembly,Larry Sng Wei Shien,Q55847724,2001-09-27,2011-04-15
member of the Sarawak State Legislative Assembly,Dennis Ngau,Q107569900,2011,
member of the Sarawak State Legislative Assembly,Majang Renggi,Q107569848,2016,2021-11-03
member of the Sarawak State Legislative Assembly,Juanda Jaya,Q12688643,2016-05-07,2021-11-03
member of the Pahang State Legislative Assembly,Ahmad Tajuddin Sulaiman,Q12682152,1999,2008
member of the Pahang State Legislative Assembly,Fauzi Abdul Rahman,Q20457974,1999-11-29,2004-03-21
member of the Perak State Legislative Assembly,Wan Noorashikin Wan Nordin,Q108648105,2008,
member of the Perak State Legislative Assembly,Leong Cheok Keng,Q108648645,2013,
member of the Perak State Legislative Assembly,Abd Manaf Hashim,Q108653743,2013,
member of the Perak State Legislative Assembly,Maslin Sham Razman,Q108653806,2013,
member of the Perak State Legislative Assembly,Abu Bakar Hussian,Q25486283,2013,2018
member of the Perak State Legislative Assembly,Lee Chuan How,Q27917079,2013,
member of the Perak State Legislative Assembly,Paul Yong Choo Kiong,Q77399693,2013-05-05,
member of the Perak State Legislative Assembly,Yahaya Mat Nor,Q108648073,2018,
member of the Perak State Legislative Assembly,Sandrea Ng Shy Ching,Q108648349,2018,
member of the Perak State Legislative Assembly,Chong Zhemin,Q108648608,2018,
member of the Perak State Legislative Assembly,Khairudin Abu Hanipah,Q108648724,2018,
member of the Perak State Legislative Assembly,Teoh Yee Chern,Q108653714,2018,
member of the Perak State Legislative Assembly,Mohamad Zuraimi Razali,Q108653781,2018,
member of the Perak State Legislative Assembly,Chaw Kam Foon,Q108653835,2018,
member of the Perak State Legislative Assembly,Cheah Pou Hian,Q108653866,2018,
